Nivel1,Nivel2,Nivel3,Nivel4,LabelEsp,labelEng,definitionEsp,definitionEng
,,,22501,Tributos de las Comunidades Autónomas.,,,
,,,22502,Tributos de las Entidades locales.,,,
,,226,,Gastos diversos.,,,
,,,22601,Atenciones protocolarias y representativas.,,,
,,,22602,Publicidad y propaganda.,,,
,,,22603,Publicación en Diarios Oficiales.,,,
,,,22604,Jurídicos. Contenciosos.,,,
,,,22606,Reuniones. Conferencias y cursos.,,,
,,,22607,Oposiciones y pruebas selectivas.,,,
,,,22609,Actividades culturales y deportivas.,,,
,,,22699,Otros gastos diversos.,,,
,,227,,Trabajos realizados por otras empresas y profesionales.,,,
,,,22700,Limpieza y aseo.,,,
,,,22701,Seguridad.,,,
,,,22702,Valoraciones y peritajes.,,,
,,,22704,Custodia. Depósito y almacenaje.,,,
,,,22705,Procesos electorales.,,,
,,,22706,Estudios y trabajos técnicos.,,,
,,,22708,Servicios de recaudación a favor de la entidad.,,,
,,,22799,Otros trabajos realizados por otras empresas y profesionales.,,,
,23,,,Indemnizaciones por razón del servicio.,,,
,,230,,Dietas.,,,
,,,23000,De los miembros de los órganos de gobierno.,,,
,,,2301,Del personal directivo.,,,
,,,2302,Del personal no directivo.,,,
,,231,,Locomoción.,,,
,,,23100,De los miembros de los órganos de gobierno.,,,
,,,23110,Del personal directivo.,,,
,,,23120,Del personal no directivo.,,,
,,233,,Otras indemnizaciones.,,,
,24,,,Gastos de publicaciones.,,,
,,240,,Gastos de edición y distribución.,,,
,25,,,Trabajos realizados por administraciones públicas y otras entidades públicas.,,,
,26,,,Trabajos realizados por Instituciones sin fines de lucro.,,,
3,,,,GASTOS FINANCIEROS.,,,
,30,,,De Deuda Pública en euros.,,,
,,300,,Intereses.,,,
,,301,,Gastos de emisión. Modificación y cancelación.,,,
,,309,,Otros gastos financieros de Deuda Pública en euros.,,,
,31,,,De préstamos y otras operaciones financieras en euros.,,,
 ,,310,,Intereses.,,,
,,311,,Gastos de formalización. Modificación y cancelación.,,,
,,319,,Otros gastos financieros de préstamos y otras operaciones financieras en euros.,,,
,32,,,De deuda pública en moneda distinta del euro.,,,
,,320,,Intereses.,,,
,,321,,Gastos de emisión. Modificación y cancelación.,,,
,,322,,Diferencias de cambio.,,,
,,329,,Otros gastos financieros de Deuda Pública en moneda distinta del euro.,,,
,33,,,De préstamos y otras operaciones financieras en moneda distinta del euro.,,,
,,330,,Intereses.,,,
,,331,,Gastos de formalización. Modificación y cancelación.,,,
,,332,,Diferencias de cambio.,,,
,,339,,Otros gastos financieros de préstamos y otras operaciones financieras en moneda distinta del euro.,,,
,34,,,De depósitos. fianzas y otros.,,,
,,340,,Intereses de depósitos.,,,
,,341,,Intereses de fianzas.,,,
,35,,,Intereses de demora y otros gastos financieros.,,,
,,352,,Intereses de demora.,,,
,,353,,Operaciones de intercambio financiero.,,,
,,357,,Ejecución de avales.,,,
,,358,,Intereses por operaciones de arrendamiento financiero («leasing»).,,,
,,359,,Otros gastos financieros.,,,
4,,,,TRANSFERENCIAS CORRIENTES.,,,
,40,,,A la Administración General de la Entidad Local.,,,
,41,,,A Organismos Autónomos de la Entidad Local.,,,
,42,,,A la Administración del Estado.,,,
,,420,,A la Administración General del Estado.,,,
,,421,,A Organismos Autónomos yAgencias estatales.,,,
,,,42100,Al Servicio Público de Empleo Estatal.,,,
,,,42110,A otros organismos autónomos.,,,
,,422,,A Fundaciones estatales.,,,
,,423,,A sociedades mercantiles estatales. Entidades públicas empresariales y otros organismos públicos.,,,
,,,42300,Subvenciones para fomento del empleo.,,,
,,,42310,Subvenciones para bonificación de intereses y primas de seguros.,,,
,,,42320,Subvenciones para reducir el precio a pagar por los consumidores.,,,
,,,42390,Otras subvenciones a sociedades mercantiles estatales,,,
,43,,,A la Seguridad Social. Entidades públicas empresariales y otros organismos públicos.,,,
,44,,,A entes públicos y sociedades mercantiles de la Entidad Local.,,,
,,440,,Subvenciones para fomento del empleo.,,,
,,441,,Subvenciones para bonificación de intereses y primas de seguros.,,,
,,442,,Subvenciones para reducir el precio a pagar por los consumidores.,,,
,,449,,Otras subvenciones a entes públicos y sociedades mercantiles de la Entidad Local.,,,
,45,,,A Comunidades Autónomas.,,,
,,450,,A la Administración General de las Comunidades Autónomas.,,,
,,451,,A Organismos Autónomos y agencias de las Comunidades Autónomas.,,,
,,452,,A fundaciones de las Comunidades Autónomas.,,,
,,453,,A sociedades mercantiles. Entidades públicas empresariales y otros organismos públicos dependientes de las Comunidades Autónomas.,,,
,,,45300,Subvenciones para fomento del empleo.,,,
,,,45310,Subvenciones para bonificación de intereses y primas de seguros.,,,
,,,45320,Subvenciones para reducir el precio a pagar por los consumidores.,,,
,,,45390,Otras subvenciones a sociedades mercantiles. Entidades públicas empresariales y otros organismos públicos dependientes de las Comunidades Autónomas.,,,
,46,,,A Entidades Locales.,,,
,,461,,A Diputaciones. Consejos o Cabildos insulares.,,,
,,462,,A Ayuntamientos.,,,
,,463,,A Mancomunidades.,,,
,,464,,A Áreas Metropolitanas.,,,
,,465,,A Comarcas.,,,
,,466,,A otras Entidades que agrupen municipios.,,,
,,467,,A Consorcios.,,,
,,468,,A Entidades Locales Menores.,,,
,47,,,A Empresas privadas.,,,
,,470,,Subvenciones para fomento del empleo.,,,
,,471,,Subvenciones para bonificación de intereses y primas de seguros.,,,
,,472,,Subvenciones para reducir el precio a pagar por los consumidores.,,,
,,479,,Otras subvenciones a Empresas privadas.,,,
,48,,,A Familias e Instituciones sin fines de lucro.,,,
,49,,,Al exterior.,,,
5,,,,FONDO DE CONTINGENCIA Y OTROS IMPREVISTOS.,,,
,50,,,Dotación al Fondo de Contingencia de Ejecución Presupuestaria.,,,
,,500,,Fondo de Contingencia de Ejecución Presupuestaria. Artículo 31 Ley Orgánica 2/2012. De Estabilidad Presupuestaria y Sostenibilidad Financiera.,,,
6,,,,INVERSIONES REALES.,,,
,60,,,Inversión nueva en infraestructuras y bienes destinados al uso general.,,,
,,600,,Inversiones en terrenos.,,,
,,609,,Otras inversiones nuevas en infraestructuras y bienes destinados al uso general.,,,
,61,,,Inversiones de reposición de infraestructuras y bienes destinados al uso general.,,,
,,610,,Inversiones en terrenos.,,,
,,619,,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general.,,,
,62,,,Inversión nueva asociada al funcionamiento operativo de los servicios.,,,
,,621,,Terrenos y bienes naturales.,,,
,,622,,Edificios y otras construcciones.,,,
,,623,,Maquinaria. Instalaciones técnicas y utillaje.,,,
,,624,,Elementos de transporte.,,,
,,625,,Mobiliario.,,,
,,626,,Equipos para procesos de información.,,,
,,627,,Proyectos complejos.,,,
,,629,,Otras inversiones nuevas asociadas al funcionamiento operativo de los servicios.,,,
,63,,,Inversión de reposición asociada al funcionamiento operativo de los servicios.,,,
,,631,,Terrenos y bienes naturales.,,,
,,632,,Edificios y otras construcciones.,,,
,,633,,Maquinaria. Instalaciones técnicas y utillaje.,,,
,,634,,Elementos de transporte.,,,
,,635,,Mobiliario.,,,
,,636,,Equipos para procesos de información.,,,
,,637,,Proyectos complejos.,,,
,,639,,Otras inversiones de reposición asociadas al funcionamiento operativo de los servicios.,,,
,64,,,Gastos en inversiones de carácter inmaterial.,,,
,,640,,Gastos en inversiones de carácter inmaterial.,,,
,,641,,Gastos en aplicaciones informáticas.,,,
,,648,,Cuotas netas de intereses por operaciones de arrendamiento financiero («leasing»).,,,
,65,,,Inversiones gestionadas para otros entes públicos.,,,
,,650,,Gastos en inversiones gestionadas para otros entes públicos.,,,
,68,,,Gastos en inversiones de bienes patrimoniales.,,,
,,681,,Terrenos y bienes naturales.,,,
,,682,,Edificios y otras construcciones.,,,
,,689,,Otros gastos en inversiones de bienes patrimoniales.,,,
,69,,,Inversiones en bienes comunales.,,,
,,690,,Terrenos y bienes naturales.,,,
,,692,,Inversión en infraestructuras.,,,
7,,,,TRANSFERENCIAS DE CAPITAL.,,,
,70,,,A la Administración General de la Entidad Local.,,,
,71,,,A Organismos Autónomos de la Entidad Local.,,,
,72,,,A la Administración del Estado.,,,
,,720,,A la Administración General del Estado.,,,
,,721,,A Organismos Autónomos y agencias.,,,
,,,72100,Al Servicio Público de Empleo Estatal.,,,
,,,72109,A otros organismos autónomos.,,,
,,722,,A fundaciones estatales.,,,
,,723,,A sociedades mercantiles estatales. Entidades públicas empresariales y otros organismos públicos.,,,
,73,,,A la Seguridad Social.,,,
,74,,,A entes públicos y sociedades mercantiles de la Entidad local.,,,
,75,,,A Comunidades Autónomas.,,,
,,750,,A la Administración General de las Comunidades Autónomas.,,,
,,751,,A Organismos Autónomos y agencias de las Comunidades Autónomas.,,,
,,752,,A fundaciones de las Comunidades Autónomas.,,,
,,753,,A sociedades mercantiles. Entidades públicas empresariales y otros organismos públicos dependientes de las Comunidades Autónomas.,,,
,76,,,A Entidades Locales.,,,
,,761,,A Diputaciones. Consejos o Cabildos.,,,
,,762,,A Ayuntamientos.,,,
,,763,,A Mancomunidades.,,,
,,764,,A Áreas Metropolitanas.,,,
,,765,,A Comarcas.,,,
,,766,,A Entidades que agrupen Municipios.,,,
,,767,,A Consorcios.,,,
,,768,,A Entidades Locales Menores.,,,
,77,,,A empresas privadas.,,,
,78,,,A familias e instituciones sin fines de lucro.,,,
,79,,,Al exterior.,,,
8,,,,ACTIVOS FINANCIEROS.,,,
,80,,,Adquisición de deuda del sector público.,,,
,,800,,Adquisición de deuda del sector público a corto plazo.,,,
,,,80000,Al Estado.,,,
,,,80010,A Comunidades Autónomas.,,,
,,,80020,A Entidades locales.,,,
,,,80090,A otros subsectores.,,,
,,801,,Adquisición de deuda del sector público a largo plazo.,,,
,,,80100,Al Estado.,,,
,,,80110,A Comunidades Autónomas.,,,
,,,80120,A Entidades locales.,,,
,,,80190,A otros subsectores.,,,
,81,,,Adquisición de Obligaciones y Bonos fuera del sector público.,,,
,,810,,Adquisición de obligaciones y bonos fuera del sector público a corto plazo. Desarrollo por sectores.,,,
,,811,,Adquisición de obligaciones y bonos fuera del sector público a largo plazo. Desarrollo por sectores.,,,
,82,,,Concesión préstamos al sector público.,,,
,,820,,Préstamos a corto plazo.,,,
,,,82000,Al Estado.,,,
,,,82010,A Comunidades Autónomas.,,,
,,,82020,A Entidades locales.,,,
,,,82090,A otros subsectores.,,,
,,821,,Préstamos a largo plazo.,,,
,,,82100,Al Estado.,,,
,,,82110,A Comunidades Autónomas.,,,
,,,82120,A Entidades locales.,,,
,,,82190,A otros subsectores.,,,
,83,,,Concesión de préstamos fuera del sector público.,,,
,,830,,Préstamos a corto plazo. Desarrollo por sectores.,,,
,,831,,Préstamos a largo plazo. Desarrollo por sectores.,,,
,84,,,Constitución de depósitos y fianzas.,,,
,,840,,Depósitos.,,,
,,,84000,A corto plazo.,,,
,,,84010,A largo plazo.,,,
,,841,,Fianzas.,,,
,,,84100,A corto plazo.,,,
,,,84110,A largo plazo.,,,
,85,,,Adquisición de acciones y participaciones del sector público.,,,
,,850,,Adquisición de acciones y participaciones del sector público.,,,
,,,85001,Adquisición de acciones y participaciones para compensar pérdidas.,,,
,,,85020,Adquisición de acciones y participaciones para financiar inversiones no rentables.,,,
,,,85090,Resto de adquisiciones de acciones dentro del sector público.,,,
,86,,,Adquisición de acciones y participaciones fuera del sector público.,,,
,,860,,Adquisición de acciones y participaciones fuera del sector público.,,,
,,,86010,De empresas nacionales.,,,
,,,86020,De empresas de la Unión Europea.,,,
,,,86090,De otras empresas.,,,
,87,,,Aportaciones patrimoniales.,,,
,,870,,Aportaciones a fundaciones.,,,
,,871,,Aportaciones a consorcios.,,,
,,872,,Aportaciones a otros entes.,,,
,,,87210,Aportaciones para compensar pérdidas.,,,
,,,87220,Aportaciones para financiar inversiones no rentables.,,,
,,,87290,Resto de aportaciones.,,,
9,,,,PASIVOS FINANCIEROS.,,,
,90,,,Amortización de Deuda Pública en euros.,,,
,,900,,Amortización de Deuda Pública en euros a corto plazo.,,,
,,901,,Amortización de Deuda Pública en euros a largo plazo.,,,
,91,,,Amortización de préstamos y de operaciones en euros.,,,
,,910,,Amortización de préstamos a corto plazo de entes del sector público.,,,
,,911,,Amortización de préstamos a largo plazo de entes del sector público.,,,
,,912,,Amortización de préstamos a corto plazo de entes de fuera del sector Público.,,,
,,913,,Amortización de préstamos a largo plazo de entes de fuera del sector público.,,,
,92,,,Amortización de Deuda Pública en moneda distinta del euro.,,,
,,920,,Amortización de Deuda Pública en moneda distinta del euro a corto plazo.,,,
,,921,,Amortización de Deuda Pública en moneda distinta del euro a largo plazo.,,,
,93,,,Amortización de préstamos en moneda distinta del euro.,,,
,,930,,Amortización de préstamos en moneda distinta del euro a corto plazo.,,,
,,931,,Amortización de préstamos en moneda distinta del euro a largo plazo.,,,
,94,,,Devolución de depósitos y fianzas.,,,
,,940,,Devolución de depósitos.,,,
,,941,,Devolución de fianzas.,,,
